id,data
2336,15
3192,15
3323,15
1054,15
1730,15
1731,15
1604,15
1735,15
1056,15
1065,15
3334,15
3337,15
1593,15
1748,15
3340,15
3345,15
3829,15
3633,15
1451,15
1398,15
1262,15
3578,15
2179,15
2828,15
2889,15
2757,15
3262,15
3798,15
1968,15
2901,15
2902,15
1194,15
3799,15
2101,15
3697,15
2046,15
3694,15
3553,15
1408,15
2049,15
1323,15
1322,15
2178,15
1386,15
1258,15
1983,15
3744,15
3757,15
1234,15
1232,15
2717,15
2849,15
3596,15
3594,15
3615,15
2847,15
2158,15
1350,15
3589,15
2840,15
2614,15
3734,15
1996,15
2835,15
2118,15
1343,15
3781,15
3693,15
1274,15
2212,15
2649,15
2797,15
2800,15
2088,15
1429,15
2069,15
1180,15
1921,15
2644,15
3814,15
1433,15
2927,15
2795,15
2071,15
2089,15
2633,15
3676,15
1174,15
1925,15
1922,15
2618,15
2621,15
1285,15
1910,15
2808,15
2058,15
1944,15
2192,15
3807,15
1281,15
2661,15
2204,15
3539,15
2641,15
2766,15
1424,15
2786,14
2497,14
3193,14
2729,14
1671,14
2338,14
2078,14
2126,14
3182,14
2079,14
2407,14
1746,14
2424,14
2730,14
1750,14
2498,14
2448,14
2345,14
2072,14
1695,14
2468,14
2048,14
2853,14
2764,14
2823,14
2360,14
2483,14
1691,14
1689,14
2092,14
2824,14
3209,14
2039,14
2104,14
3206,14
2780,14
3202,14
1724,14
2746,14
2834,14
2494,14
2026,14
2141,14
3136,14
1753,14
3174,14
1860,14
2942,14
2669,14
2191,14
2188,14
2925,14
3031,14
3039,14
2921,14
2919,14
1952,14
2916,14
1838,14
2915,14
2559,14
2294,14
1955,14
1862,14
2263,14
2262,14
2595,14
2233,14
2616,14
2228,14
1916,14
2606,14
2629,14
2955,14
1896,14
2208,14
2992,14
1887,14
1926,14
2253,14
2787,14
1871,14
1933,14
1957,14
1958,14
2677,14
3146,14
3124,14
3126,14
3138,14
2323,14
2704,14
1772,14
2510,14
3147,14
2163,14
2710,14
3149,14
2152,14
2149,14
2146,14
2331,14
2720,14
1995,14
2875,14
2297,14
3098,14
3087,14
2681,14
1970,14
3090,14
1972,14
2182,14
1805,14
3106,14
2693,14
2524,14
1797,14
2174,14
2684,14
2522,14
2171,14
2685,14
2998,14
2412,14
1335,14
3402,14
1542,14
3406,14
1170,14
3821,14
1533,14
1402,14
1185,14
1187,14
3809,14
1204,14
1211,14
1214,14
3778,14
1224,14
3435,14
1513,14
1512,14
1163,14
3831,14
1507,14
3401,14
3879,14
3875,14
3872,14
3869,14
3866,14
3376,14
3380,14
1138,14
3386,14
1561,14
1148,14
1559,14
3390,14
1553,14
1551,14
1550,14
1152,14
1509,14
1249,14
3343,14
3515,14
1448,14
1339,14
1341,14
3625,14
1360,14
3600,14
3592,14
1427,14
1422,14
3586,14
3582,14
1421,14
1383,14
1417,14
3543,14
3547,14
3576,14
3518,14
1455,14
3728,14
1462,14
1256,14
3721,14
3470,14
3471,14
3473,14
1283,14
1300,14
1302,14
3666,14
1480,14
1306,14
1475,14
3495,14
1471,14
3649,14
1466,14
3643,14
3346,14
1400,14
3306,14
1004,14
3984,14
3932,14
1055,14
1047,14
3992,14
3331,14
3990,14
1088,14
1605,14
3906,14
1601,14
1639,14
3329,14
1077,14
3284,14
1092,14
3273,14
3275,14
3299,14
3918,14
3974,14
1631,14
3969,14
1039,14
3292,14
1015,14
1061,14
1663,14
1100,14
1099,14
1076,14
3291,14
1634,14
1082,14
2059,13
2456,13
2806,13
1321,13
2052,13
3651,13
1027,13
1327,13
2382,13
1329,13
1331,13
2378,13
3662,13
3652,13
2067,13
2754,13
3964,13
2370,13
1265,13
2466,13
2765,13
3678,13
2090,13
2463,13
2373,13
2077,13
2794,13
2460,13
2826,13
3656,13
1311,13
3655,13
1667,13
2833,13
2384,13
2887,13
3989,13
1990,13
1987,13
2877,13
2403,13
1387,13
3996,13
2408,13
2890,13
1376,13
2894,13
2414,13
1969,13
3572,13
2895,13
2896,13
3570,13
1399,13
2872,13
1375,13
3629,13
2025,13
2829,13
2443,13
2034,13
2830,13
2030,13
1038,13
2438,13
1342,13
2437,13
2858,13
2022,13
2837,13
2839,13
2845,13
2015,13
2006,13
3608,13
2435,13
2108,13
1105,13
3723,13
3922,13
2243,13
2605,13
2240,13
1078,13
2238,13
2609,13
2612,13
2327,13
1073,13
1167,13
2596,13
3925,13
2502,13
3825,13
2219,13
2218,13
2639,13
3930,13
1176,13
1181,13
2601,13
1147,13
2748,13
1118,13
2295,13
2293,13
2548,13
2552,13
1103,13
1110,13
2561,13
3877,13
2562,13
2532,13
3841,13
3904,13
3861,13
2264,13
2580,13
2260,13
2523,13
3857,13
1134,13
2316,13
3810,13
1184,13
2339,13
1235,13
2154,13
3770,13
2487,13
3768,13
3949,13
1042,13
2151,13
1229,13
3764,13
1238,13
2657,13
3753,13
2136,13
2133,13
1104,13
3735,13
2122,13
2119,13
3727,13
2116,13
1225,13
3945,13
2157,13
2352,13
2659,13
3935,13
2501,13
3804,13
1193,13
2676,13
1200,13
3941,13
3795,13
1206,13
3787,13
3783,13
2495,13
2691,13
2692,13
3942,13
2698,13
1221,13
2162,13
2654,13
1666,13
2994,13
3352,13
1774,13
3143,13
3480,13
3009,13
3003,13
1763,13
3366,13
3000,13
3485,13
1880,13
3161,13
1881,13
3359,13
1580,13
2993,13
1490,13
1584,13
1892,13
1592,13
3180,13
1598,13
3187,13
2984,13
1603,13
1903,13
1606,13
3199,13
1728,13
2964,13
2962,13
1866,13
3393,13
1725,13
3038,13
3075,13
3564,13
3078,13
1828,13
1525,13
3426,13
1523,13
1522,13
1529,13
1530,13
3049,13
3047,13
3093,13
3438,13
1536,13
3465,13
1848,13
1851,13
1852,13
1540,13
3032,13
1795,13
3444,13
3118,13
3448,13
1790,13
1500,13
3457,13
1495,13
3122,13
3201,13
3072,13
3285,13
3298,13
2922,13
1677,13
1686,13
3219,13
1676,13
1626,13
3252,13
3290,13
2948,13
2936,13
3526,13
1435,13
3303,13
3307,13
1936,13
1441,13
3296,13
1918,13
3203,13
2906,13
3313,13
1716,13
3311,13
3267,13
1927,13
1439,13
1713,13
3826,12
1169,12
3983,12
3981,12
2226,12
1013,12
1166,12
1544,12
3838,12
3972,12
1023,12
3115,12
3833,12
1156,12
3242,12
2453,12
1791,12
2457,12
2459,12
2376,12
2375,12
3125,12
1801,12
1614,12
2221,12
1538,12
3073,12
3264,12
2673,12
3272,12
2672,12
3995,12
2193,12
1673,12
3082,12
2668,12
2427,12
2196,12
3423,12
1186,12
1815,12
3991,12
2433,12
3088,12
3420,12
3249,12
1681,12
3813,12
1807,12
3415,12
1560,12
1649,12
2638,12
2217,12
3104,12
3127,12
3852,12
3141,12
3335,12
2286,12
2556,12
2554,12
3171,12
1712,12
3175,12
3880,12
2351,12
3944,12
2296,12
3179,12
3211,12
1053,12
1594,12
2535,12
1142,12
3901,12
3181,12
2312,12
1620,12
1090,12
3189,12
1738,12
3330,12
2521,12
1080,12
2325,12
1058,12
1608,12
2506,12
3071,12
3353,12
2284,12
